SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
24,02/07/2025,"2,694.82","2,696.13","2,661.37",-34.42,-1.29%,"3,000.81","2,100.43","9,210,047,189.10","17,795,248","88,014"
25,01/07/2025,"2,660.39","2,663.24","2,632.19",-28.91,-1.09%,"3,000.81","2,053.38","6,855,523,335.20","13,601,559","68,972"
26,30/06/2025,"2,631.48","2,638.72","2,622.50",-9.19,-0.35%,"3,000.81","2,037.09","6,338,596,419.00","13,280,340","62,459"
27,29/06/2025,"2,622.28","2,626.21","2,594.23",-26.53,-1.02%,"3,000.81","2,037.09","7,033,661,184.20","14,595,170","73,603"
28,26/06/2025,"2,595.74","2,617.65","2,594.71",(-4.45),(-0.17 %),"3,000.81","2,037.09","7,668,089,940.60","16,453,543","73,212"
29,25/06/2025,"2,600.20","2,607.71","2,594.34",(-0.33),(-0.01 %),"3,000.81","2,037.09","5,784,568,261.30","11,826,137","60,769"
30,24/06/2025,"2,600.53","2,629.26","2,599.72",(-0.22),0.00%,"3,000.81","2,037.09","5,682,366,216.70","12,355,690","61,698"
31,23/06/2025,"2,600.76","2,608.56","2,584.47",-4.78,-0.18%,"3,000.81","2,037.09","6,324,754,762.80","13,629,487","69,688"
32,22/06/2025,"2,595.97","2,631.82","2,594.01",(-32.93),(-1.25 %),"3,000.81","2,037.09","8,947,058,535.70","19,660,487","85,803"
33,19/06/2025,"2,628.91","2,661.33","2,628.27",(-24.76),(-0.93 %),"3,000.81","2,037.09","10,991,937,327.80","25,045,256","119,942"
34,18/06/2025,"2,653.68","2,662.69","2,649.78",(-1.07),(-0.04 %),"3,000.81","2,037.09","8,786,753,972.40","18,504,123","76,483"
35,17/06/2025,"2,654.75","2,670.25","2,649.60",(-3.90),(-0.14 %),"3,000.81","2,037.09","7,492,674,368.50","14,993,603","69,019"
36,16/06/2025,"2,658.66","2,679.74","2,652.13",-2.8,-0.10%,"3,000.81","2,037.09","12,937,373,492.20","28,465,433","103,948"
37,15/06/2025,"2,655.85","2,667.68","2,653.43",-0.47,-0.01%,"3,000.81","2,037.09","11,219,804,434.00","23,165,368","93,814"
38,12/06/2025,"2,655.38","2,672.42","2,654.69",(-9.08),(-0.34 %),"3,000.81","2,037.09","12,065,329,298.58","25,772,937","101,278"
39,11/06/2025,"2,664.47","2,686.45","2,660.86",(-13.69),(-0.51 %),"3,000.81","2,037.09","9,636,388,892.60","20,329,950","79,756"
40,10/06/2025,"2,678.17","2,683.25","2,653.57",-25.07,-0.94%,"3,000.81","2,037.09","9,541,999,270.87","19,716,973","78,542"
41,09/06/2025,"2,653.09","2,657.34","2,627.76",-23.19,-0.88%,"3,000.81","2,037.09","8,547,045,612.00","16,388,129","77,702"
42,08/06/2025,"2,629.89","2,645.22","2,626.39",(-11.06),(-0.41 %),"3,000.81","2,037.09","8,918,641,937.85","18,143,759","85,029"
43,05/06/2025,"2,640.96","2,661.77","2,635.30",(-5.99),(-0.22 %),"3,000.81","2,037.09","7,812,540,713.80","15,879,422","76,479"
44,04/06/2025,"2,646.95","2,664.59","2,641.07",(-11.97),(-0.45 %),"3,000.81","2,037.09","4,971,517,522.10","10,944,545","57,536"
45,03/06/2025,"2,658.93","2,699.28","2,656.34",(-35.73),(-1.32 %),"3,000.81","2,037.09","6,464,904,322.12","13,439,370","74,008"
46,02/06/2025,"2,694.66","2,726.60","2,686.93",-1.6,-0.05%,"3,000.81","2,037.09","8,874,812,935.35","19,581,444","80,856"
47,28/05/2025,"2,693.06","2,696.78","2,666.50",-17.44,-0.65%,"3,000.81","2,037.09","8,478,260,715.00","19,163,602","76,234"
48,27/05/2025,"2,675.62","2,684.77","2,655.29",-0.85,-0.03%,"3,000.81","2,037.09","6,433,076,140.60","13,126,346","58,550"
49,26/05/2025,"2,674.76","2,745.89","2,670.35",(-5.21),(-0.19 %),"3,000.81","2,037.09","7,473,221,694.70","15,963,359","68,401"
50,25/05/2025,"2,679.98","2,703.78","2,665.48",(-8.57),(-0.31 %),"3,000.81","2,037.09","7,492,358,066.70","15,370,232","69,450"
51,22/05/2025,"2,688.55","2,705.56","2,669.58",-19.04,-0.71%,"3,000.81","2,037.09","9,625,241,101.60","21,094,214","85,536"
52,21/05/2025,"2,669.51","2,771.47","2,667.85",(-7.94),(-0.29 %),"3,000.81","2,037.09","10,450,786,756.90","21,319,144","86,526"
53,20/05/2025,"2,677.45","2,681.58","2,617.46",-49.09,-1.86%,"3,000.81","2,037.09","7,162,246,967.10","14,283,021","71,808"
54,19/05/2025,"2,628.36","2,639.69","2,605.03",-19.3,-0.74%,"3,000.81","2,037.09","7,132,515,088.00","13,194,083","70,045"
55,18/05/2025,"2,609.05","2,625.26","2,606.09",(-2.79),(-0.10 %),"3,000.81","2,018.76","8,413,993,579.60","15,775,640","78,832"
56,15/05/2025,"2,611.85","2,628.67","2,605.89",(-8.41),(-0.32 %),"3,000.81","2,017.97","6,777,696,987.40","13,957,849","77,183"
57,14/05/2025,"2,620.27","2,642.96","2,619.64",(-13.96),(-0.53 %),"3,000.81","2,017.97","8,615,266,516.10","16,757,380","110,971"
58,13/05/2025,"2,634.23","2,669.28","2,632.29",(-14.87),(-0.56 %),"3,000.81","1,974.50","9,443,487,334.46","18,908,242","100,663"
59,11/05/2025,"2,649.11","2,692.50","2,648.48",(-12.53),(-0.47 %),"3,000.81","1,966.23","10,010,218,269.00","21,504,077","87,331"
60,08/05/2025,"2,661.64","2,687.38","2,655.79",(-12.04),(-0.45 %),"3,000.81","1,960.60","11,418,806,930.20","26,878,257","101,655"
61,07/05/2025,"2,673.69","2,676.25","2,611.71",-62.25,-2.38%,"3,000.81","1,960.60","10,330,199,411.70","25,377,978","97,785"
62,06/05/2025,"2,611.43","2,625.70","2,608.57",-1.03,-0.03%,"3,000.81","1,958.75","8,569,434,799.00","18,868,350","78,387"
63,05/05/2025,"2,610.40","2,630.36","2,604.79",(-9.98),(-0.38 %),"3,000.81","1,958.75","7,389,071,144.50","15,711,465","64,106"
64,04/05/2025,"2,620.39","2,645.67","2,619.26",(-3.44),(-0.13 %),"3,000.81","1,958.75","8,955,722,639.02","19,989,137","79,665"
65,30/04/2025,"2,623.83","2,642.07","2,622.72",(-8.14),(-0.30 %),"3,000.81","1,958.75","9,004,818,991.04","20,869,112","77,542"
66,29/04/2025,"2,631.98","2,666.54","2,630.30",(-15.08),(-0.57 %),"3,000.81","1,958.75","7,316,908,566.45","15,741,009","64,292"
67,28/04/2025,"2,647.07","2,676.05","2,645.24",(-14.53),(-0.54 %),"3,000.81","1,958.75","8,538,623,687.80","20,799,720","74,335"
68,27/04/2025,"2,661.60","2,684.51","2,657.37",-3.58,-0.13%,"3,000.81","1,958.75","10,344,558,717.50","22,871,591","85,808"
69,24/04/2025,"2,658.02","2,668.06","2,641.88",-2.08,-0.07%,"3,000.81","1,958.75","7,659,630,571.30","16,755,792","69,098"
70,23/04/2025,"2,655.94","2,687.68","2,653.74",(-32.38),(-1.20 %),"3,000.81","1,958.75","7,427,129,322.21","15,936,332","62,708"
71,22/04/2025,"2,688.32","2,707.86","2,682.80",(-9.96),(-0.36 %),"3,000.81","1,958.75","7,922,795,530.60","17,228,744","69,485"
72,21/04/2025,"2,698.28","2,716.70","2,691.07",(-7.75),(-0.28 %),"3,000.81","1,958.75","8,508,333,594.30","18,921,509","76,496"
73,20/04/2025,"2,706.04","2,731.81","2,700.85",(-16.68),(-0.61 %),"3,000.81","1,958.75","8,128,581,730.80","17,995,686","71,770"
74,17/04/2025,"2,722.73","2,740.13","2,697.63",-26.49,-0.98%,"3,000.81","1,958.75","10,511,150,557.80","20,840,479","88,100"
75,16/04/2025,"2,696.23","2,704.97","2,685.36",-7.01,-0.26%,"3,000.81","1,958.75","7,193,756,535.20","15,353,706","63,402"
76,15/04/2025,"2,689.22","2,704.58","2,669.22",-27.14,-1.01%,"3,000.81","1,958.75","8,401,525,818.10","20,525,100","68,077"
77,13/04/2025,"2,662.08","2,676.70","2,657.32",(-8.62),(-0.32 %),"3,000.81","1,958.75","6,024,603,098.20","10,755,394","53,200"
78,10/04/2025,"2,670.70","2,687.92","2,667.00",(-5.57),(-0.20 %),"3,000.81","1,958.75","5,580,363,072.80","10,463,090","48,928"
79,09/04/2025,"2,676.28","2,701.12","2,671.65",-9.66,-0.36%,"3,000.81","1,958.75","4,405,056,491.10","7,483,770","44,173"
80,08/04/2025,"2,666.61","2,674.88","2,631.68",(-3.44),(-0.12 %),"3,000.81","1,958.75","5,254,898,486.00","9,254,632","52,725"
81,07/04/2025,"2,670.06","2,710.13","2,667.56",(-33.33),(-1.23 %),"3,000.81","1,958.75","5,557,189,644.60","9,357,844","54,968"
82,03/04/2025,"2,703.39","2,732.85","2,700.23",-3.35,-0.12%,"3,000.81","1,958.75","7,766,082,731.80","14,041,898","68,258"
83,02/04/2025,"2,700.04","2,712.25","2,669.06",-23.86,-0.89%,"3,000.81","1,958.75","5,377,995,834.70","9,331,831","53,130"
84,01/04/2025,"2,676.17","2,696.50","2,654.57",(-16.95),(-0.62 %),"3,000.81","1,958.75","5,744,030,785.50","9,556,358","55,681"
85,30/03/2025,"2,693.12","2,718.95","2,657.88",-29.82,-1.11%,"3,000.81","1,958.75","7,307,411,585.50","13,012,779","74,979"
86,27/03/2025,"2,663.30","2,666.17","2,621.46",-41.43,-1.58%,"3,000.81","1,958.75","5,129,662,874.50","8,902,268","54,429"
87,26/03/2025,"2,621.86","2,625.60","2,579.45",-39.13,-1.51%,"3,000.81","1,958.75","4,103,613,240.41","7,419,698","47,890"
88,25/03/2025,"2,582.73","2,652.87","2,581.32",(-58.05),(-2.19 %),"3,000.81","1,958.75","5,052,539,681.97","9,919,013","61,086"
89,24/03/2025,"2,640.78","2,645.99","2,592.32",-26.1,-0.99%,"3,000.81","1,958.75","4,416,665,126.20","8,512,877","57,349"
90,23/03/2025,"2,614.68","2,669.00","2,614.09",(-54.62),(-2.04 %),"3,000.81","1,958.75","6,268,242,967.94","11,482,678","71,289"
91,20/03/2025,"2,669.31","2,685.87","2,666.69",(-12.84),(-0.47 %),"3,000.81","1,958.75","4,509,247,589.30","8,484,944","54,507"
92,19/03/2025,"2,682.15","2,706.58","2,676.30",(-14.88),(-0.55 %),"3,000.81","1,958.75","5,113,510,304.50","8,978,373","53,812"
93,18/03/2025,"2,697.04","2,723.89","2,690.58",(-7.66),(-0.28 %),"3,000.81","1,958.75","4,301,416,436.70","7,683,946","49,923"
94,17/03/2025,"2,704.70","2,732.51","2,699.20",(-10.14),(-0.37 %),"3,000.81","1,958.75","5,339,578,398.45","9,232,460","56,376"
95,16/03/2025,"2,714.85","2,739.55","2,693.55",(-21.63),(-0.79 %),"3,000.81","1,958.75","6,721,656,381.30","12,285,463","77,940"
96,12/03/2025,"2,736.48","2,745.58","2,717.29",-17.28,-0.63%,"3,000.81","1,958.75","7,218,624,515.36","12,473,322","78,122"
97,11/03/2025,"2,719.20","2,762.25","2,712.74",(-32.21),(-1.17 %),"3,000.81","1,958.75","8,318,526,160.00","14,571,341","90,896"
98,10/03/2025,"2,751.42","2,791.03","2,743.65",(-20.68),(-0.74 %),"3,000.81","1,958.75","8,277,560,398.22","14,106,698","85,801"
99,09/03/2025,"2,772.10","2,819.92","2,766.08",(-46.33),(-1.64 %),"3,000.81","1,958.75","9,916,868,613.20","16,101,851","110,721"
100,06/03/2025,"2,818.43","2,834.07","2,811.37",(-2.70),(-0.09 %),"3,000.81","1,958.75","9,916,030,095.60","15,607,570","92,584"
101,05/03/2025,"2,821.13","2,850.16","2,808.75",(-25.16),(-0.88 %),"3,000.81","1,958.75","10,830,320,745.58","19,431,514","99,991"
102,04/03/2025,"2,846.30","2,894.62","2,842.78",(-30.36),(-1.05 %),"3,000.81","1,958.75","12,820,838,488.34","24,068,383","120,493"
103,03/03/2025,"2,876.66","2,929.21","2,867.46",(-13.62),(-0.47 %),"3,000.81","1,958.75","13,736,813,943.70","24,274,209","136,499"
104,02/03/2025,"2,890.28","2,890.28","2,826.86",-75.24,-2.67%,"3,000.81","1,958.75","14,111,652,591.80","26,030,188","137,764"
105,27/02/2025,"2,815.04","2,827.15","2,785.98",-49.15,-1.77%,"3,000.81","1,958.75","11,236,404,124.10","22,240,171","110,484"
106,25/02/2025,"2,765.88","2,781.95","2,758.84",-7.13,-0.25%,"3,000.81","1,958.75","9,610,170,550.85","15,798,966","95,369"
107,24/02/2025,"2,758.75","2,785.10","2,746.00",-3.35,-0.12%,"3,000.81","1,958.75","10,896,446,712.12","18,759,504","101,341"
108,23/02/2025,"2,755.40","2,768.90","2,690.42",-11.66,-0.42%,"3,000.81","1,958.75","11,472,769,941.84","19,507,702","107,654"
109,20/02/2025,"2,743.74","2,752.35","2,720.69",-3.14,-0.11%,"3,000.81","1,958.75","8,451,739,011.50","13,494,220","85,052"
110,18/02/2025,"2,740.59","2,757.30","2,726.43",-12.68,-0.46%,"3,000.81","1,958.75","10,370,154,584.35","17,142,148","98,527"
111,17/02/2025,"2,727.91","2,738.00","2,700.53",-29.87,-1.10%,"3,000.81","1,958.75","9,894,196,380.92","17,056,125","101,762"
112,16/02/2025,"2,698.03","2,698.31","2,675.90",-19.56,-0.73%,"3,000.81","1,958.75","9,270,126,794.00","16,129,857","94,736"
113,13/02/2025,"2,678.47","2,697.34","2,673.88",(-7.26),(-0.27 %),"3,000.81","1,958.75","7,741,073,352.60","13,281,644","77,239"
114,12/02/2025,"2,685.73","2,697.41","2,679.78",-1.86,-0.06%,"3,000.81","1,958.75","8,610,541,522.35","13,910,194","81,766"
115,11/02/2025,"2,683.86","2,691.91","2,673.03",-6.54,-0.24%,"3,000.81","1,958.75","7,157,226,809.20","11,722,859","71,292"
116,10/02/2025,"2,677.32","2,699.79","2,665.72",(-10.98),(-0.40 %),"3,000.81","1,958.75","6,864,876,057.98","12,106,780","73,865"
117,09/02/2025,"2,688.31","2,725.95","2,683.28",(-11.49),(-0.42 %),"3,000.81","1,958.75","8,336,129,347.04","14,752,818","83,414"
118,06/02/2025,"2,699.81","2,720.48","2,691.56",(-11.64),(-0.42 %),"3,000.81","1,958.75","9,095,629,749.25","16,374,965","91,469"
119,05/02/2025,"2,711.45","2,726.07","2,704.24",(-4.45),(-0.16 %),"3,000.81","1,958.75","8,853,578,795.45","16,306,566","89,801"
120,04/02/2025,"2,715.91","2,745.15","2,707.37",(-14.08),(-0.51 %),"3,000.81","1,958.75","8,822,578,047.74","15,745,689","89,183"
121,03/02/2025,"2,730.00","2,764.17","2,720.42",-2.41,-0.08%,"3,000.81","1,958.75","11,719,614,010.42","20,893,249","110,624"
122,02/02/2025,"2,727.58","2,727.58","2,662.01",-69.8,-2.62%,"3,000.81","1,958.75","12,775,374,712.54","22,715,867","129,046"
123,28/01/2025,"2,657.77","2,657.96","2,634.69",-24.5,-0.93%,"3,000.81","1,958.75","9,270,783,797.90","16,490,232","93,852"
124,27/01/2025,"2,633.27","2,650.71","2,625.58",(-10.66),(-0.40 %),"3,000.81","1,958.75","8,823,696,047.60","14,719,116","86,527"
125,26/01/2025,"2,643.93","2,662.36","2,638.65",(-10.41),(-0.39 %),"3,000.81","1,958.75","9,058,973,698.98","14,671,456","93,833"
126,23/01/2025,"2,654.35","2,681.49","2,644.79",(-11.10),(-0.41 %),"3,000.81","1,958.75","7,736,804,147.02","13,487,265","82,591"
127,22/01/2025,"2,665.45","2,667.23","2,614.37",-52.36,-2.00%,"3,000.81","1,958.75","8,796,345,707.89","15,690,064","89,323"
128,21/01/2025,"2,613.08","2,618.99","2,597.61",-5.08,-0.19%,"3,000.81","1,958.75","6,132,086,393.10","10,349,666","68,974"
129,20/01/2025,"2,607.99","2,623.61","2,600.77",-6.78,-0.26%,"3,000.81","1,958.75","6,492,542,267.40","12,293,178","73,580"
130,19/01/2025,"2,601.21","2,604.01","2,580.01",-12.58,-0.48%,"3,000.81","1,958.75","6,122,126,189.08","10,896,671","71,510"
131,16/01/2025,"2,588.62","2,616.97","2,580.40",(-7.33),(-0.28 %),"3,000.81","1,958.75","5,886,456,952.45","10,674,851","69,790"
132,15/01/2025,"2,595.96","2,611.38","2,589.99",-1.83,-0.07%,"3,000.81","1,958.75","5,781,032,590.20","9,695,768","62,697"
133,13/01/2025,"2,594.13","2,615.55","2,580.74",(-15.54),(-0.59 %),"3,000.81","1,958.75","6,188,251,778.34","11,061,031","63,397"
134,12/01/2025,"2,609.67","2,654.82","2,602.46",(-25.41),(-0.96 %),"3,000.81","1,958.75","3,945,979,206.78","7,325,023","46,097"
135,09/01/2025,"2,635.09","2,656.61","2,629.06",(-18.14),(-0.68 %),"3,000.81","1,958.75","7,238,491,655.10","13,170,445","72,603"
136,08/01/2025,"2,653.23","2,672.14","2,642.59",-6.38,-0.24%,"3,000.81","1,958.75","6,344,006,376.43","10,939,121","71,343"
137,07/01/2025,"2,646.84","2,656.52","2,625.24",-6.16,-0.23%,"3,000.81","1,958.75","5,330,346,731.60","9,994,281","65,835"
138,06/01/2025,"2,640.68","2,640.73","2,594.34",-49.12,-1.89%,"3,000.81","1,958.75","6,231,854,384.28","11,990,888","74,524"
139,05/01/2025,"2,591.56","2,592.91","2,574.43",-5.32,-0.20%,"3,000.81","1,958.75","4,793,546,984.80","8,760,374","60,319"
140,02/01/2025,"2,586.23","2,586.23","2,566.27",-4.63,-0.17%,"3,000.81","1,958.75","4,098,239,951.50","7,277,260","49,792"
141,01/01/2025,"2,581.60","2,589.42","2,567.97",-5.1,-0.19%,"3,000.81","1,958.75","3,528,356,586.70","6,429,140","43,126"
142,31/12/2024,"2,576.50","2,613.95","2,545.34",(-33.08),(-1.26 %),"3,000.81","1,958.75","5,612,981,341.10","11,756,839","69,047"
143,29/12/2024,"2,609.58","2,641.17","2,601.84",(-21.12),(-0.80 %),"3,000.81","1,958.75","5,429,049,139.10","10,213,286","65,860"
144,26/12/2024,"2,630.71","2,639.08","2,607.75",-4.19,-0.15%,"3,000.81","1,958.75","5,141,760,929.80","10,882,438","60,855"
145,24/12/2024,"2,626.52","2,645.20","2,612.94",-14.31,-0.54%,"3,000.81","1,958.75","5,134,241,524.61","9,538,989","64,019"
146,23/12/2024,"2,612.20","2,612.20","2,580.49",-28.91,-1.11%,"3,000.81","1,958.75","4,376,120,634.15","8,118,084","55,171"
147,22/12/2024,"2,583.29","2,614.28","2,569.00",(-13.53),(-0.52 %),"3,000.81","1,958.75","4,457,876,697.63","8,469,672","57,015"
148,19/12/2024,"2,596.82","2,634.57","2,593.18",(-31.43),(-1.19 %),"3,000.81","1,958.75","4,709,954,685.12","9,112,026","55,369"
149,18/12/2024,"2,628.26","2,656.08","2,621.00",(-5.60),(-0.21 %),"3,000.81","1,958.75","4,219,759,673.10","7,479,007","48,835"
150,17/12/2024,"2,633.87","2,648.55","2,611.89",-2.95,-0.11%,"3,000.81","1,958.75","4,294,123,119.20","8,089,844","53,222"
151,16/12/2024,"2,630.91","2,684.32","2,622.76",(-51.37),(-1.91 %),"3,000.81","1,958.75","5,792,183,495.35","11,147,909","66,881"
152,12/12/2024,"2,682.29","2,730.31","2,678.09",(-33.42),(-1.23 %),"3,000.81","1,958.75","6,085,638,744.32","11,198,145","66,397"
153,11/12/2024,"2,715.71","2,715.71","2,662.72",-45.88,-1.71%,"3,000.81","1,958.75","4,952,763,155.30","9,650,173","55,475"
154,10/12/2024,"2,669.82","2,694.85","2,660.36",(-6.32),(-0.23 %),"3,000.81","1,948.57","4,368,067,652.52","8,128,404","52,080"
155,09/12/2024,"2,676.15","2,709.58","2,662.36",(-12.84),(-0.47 %),"3,000.81","1,948.57","5,565,006,079.45","10,050,153","61,938"
156,08/12/2024,"2,689.00","2,735.67","2,675.92",(-45.93),(-1.67 %),"3,000.81","1,852.77","7,350,682,754.40","14,157,508","80,448"
157,05/12/2024,"2,734.93","2,764.29","2,717.34",(-15.93),(-0.57 %),"3,000.81","1,841.04","8,279,219,440.54","14,895,821","86,388"
158,04/12/2024,"2,750.87","2,795.78","2,747.65",(-24.97),(-0.89 %),"3,000.81","1,837.71","9,063,948,768.08","18,209,502","95,735"
159,03/12/2024,"2,775.85","2,793.03","2,751.31",-17.8,-0.64%,"3,000.81","1,837.71","8,414,951,880.58","16,368,553","87,599"
160,02/12/2024,"2,758.04","2,773.47","2,746.47",-19.97,-0.72%,"3,000.81","1,837.71","10,412,155,714.00","18,518,268","102,417"
161,01/12/2024,"2,738.06","2,764.85","2,707.94",(-9.99),(-0.36 %),"3,000.81","1,837.71","8,749,289,494.77","15,436,668","81,642"
162,28/11/2024,"2,748.05","2,774.14","2,738.80",(-8.30),(-0.30 %),"3,000.81","1,837.71","8,458,375,676.40","14,858,889","82,130"
163,27/11/2024,"2,756.36","2,756.36","2,721.35",-39.7,-1.46%,"3,000.81","1,837.71","9,185,189,150.16","15,786,881","88,105"
164,26/11/2024,"2,716.66","2,719.84","2,685.64",-33.41,-1.24%,"3,000.81","1,837.71","7,364,758,977.10","12,928,546","74,568"
165,25/11/2024,"2,683.24","2,694.67","2,661.21",-15.83,-0.59%,"3,000.81","1,837.71","6,291,411,150.00","10,880,597","64,882"
166,24/11/2024,"2,667.40","2,698.76","2,661.22",(-13.03),(-0.48 %),"3,000.81","1,837.71","7,590,867,198.18","13,412,026","75,288"
167,21/11/2024,"2,680.44","2,722.59","2,676.25",(-31.31),(-1.15 %),"3,000.81","1,837.71","8,123,555,637.62","14,768,256","83,604"
168,20/11/2024,"2,711.75","2,713.93","2,683.79",-9.09,-0.33%,"3,000.81","1,829.65","6,989,513,888.51","12,867,461","73,170"
169,19/11/2024,"2,702.65","2,759.54","2,696.42",(-51.11),(-1.85 %),"3,000.81","1,829.65","10,271,476,163.87","19,076,467","104,171"
170,17/11/2024,"2,753.76","2,788.12","2,748.29",-4.98,-0.18%,"3,000.81","1,829.65","11,568,031,503.60","21,100,333","111,628"
171,14/11/2024,"2,748.78","2,762.51","2,729.67",-13.95,-0.51%,"3,000.81","1,829.65","10,092,126,515.05","18,697,864","100,000"
172,13/11/2024,"2,734.83","2,757.38","2,728.11",(-14.12),(-0.51 %),"3,000.81","1,829.65","7,731,290,693.70","13,251,015","76,795"
173,12/11/2024,"2,748.96","2,788.35","2,741.63",(-11.24),(-0.40 %),"3,000.81","1,829.65","7,763,998,007.80","14,637,727","81,466"
174,11/11/2024,"2,760.21","2,782.43","2,734.41",-22.14,-0.80%,"3,000.81","1,829.65","11,066,154,212.39","21,848,020","112,150"
175,10/11/2024,"2,738.06","2,738.12","2,680.70",-62.54,-2.33%,"3,000.81","1,829.65","9,423,287,184.00","18,880,830","98,531"
176,06/11/2024,"2,675.51","2,684.81","2,669.19",(-1.88),(-0.07 %),"3,000.81","1,829.65","4,942,131,728.40","8,971,275","54,216"
177,05/11/2024,"2,677.40","2,696.85","2,670.12",(-0.21),0.00%,"3,000.81","1,826.23","4,110,888,216.40","7,479,630","46,672"
178,30/10/2024,"2,677.62","2,705.24","2,671.30",(-14.43),(-0.53 %),"3,000.81","1,826.23","5,871,821,347.40","10,895,810","58,757"
179,29/10/2024,"2,692.05","2,692.11","2,647.99",-46.69,-1.76%,"3,000.81","1,826.23","6,009,989,475.30","11,792,468","67,380"
180,28/10/2024,"2,645.36","2,647.23","2,620.66",-27.41,-1.04%,"3,000.81","1,826.23","5,269,459,376.60","9,568,611","57,612"
181,27/10/2024,"2,617.95","2,632.94","2,610.14",(-9.19),(-0.34 %),"3,000.81","1,826.23","4,517,220,127.70","8,608,451","55,600"
182,24/10/2024,"2,627.14","2,650.18","2,614.65",(-18.25),(-0.68 %),"3,000.81","1,826.23","5,257,388,021.95","9,928,981","60,562"
183,23/10/2024,"2,645.39","2,684.66","2,637.54",(-20.41),(-0.76 %),"3,000.81","1,826.23","6,158,606,413.60","12,756,677","64,044"
184,22/10/2024,"2,665.81","2,669.38","2,632.62",-25.88,-0.98%,"3,000.81","1,826.23","4,071,900,137.18","8,695,743","52,439"
185,21/10/2024,"2,639.92","2,700.82","2,635.43",(-57.99),(-2.14 %),"3,000.81","1,826.23","5,724,839,921.12","12,128,604","70,823"
186,20/10/2024,"2,697.91","2,748.78","2,689.46",(-47.44),(-1.72 %),"3,000.81","1,826.23","7,868,782,250.08","16,863,138","86,115"
